"Телевізори 14""";PANASONIC;PANASONIC TC-14Z99 R;125;Телевизор PANASONIC 14-дюймов, высококонтрастный тонированый экран, формат 4:3, две температуры цвета. Поддержка систем PAL, SECAM, NTSC, динамики 2х3Вт. моно, PMPO 7Вт. Меню EASICON, таймер вкл/выкл/сон/шум...;http://tradestar.com.ua/index.php?categoryID=88
"Телевізори 15""";LG;LG 15 Q9 RB;131;Мощность 2x5 .Звук Mono/AV/Real. Турбо звук;http://tradestar.com.ua/index.php?categoryID=342
"Телевізори 15""";PANASONIC;PANASONIC TC-15PM50 RR;165;"Диагональ в дюймах: 15; Кинескоп: обычный; Формат экрана: 4:3; Системы цветн.: PAL, SECAM, NTSC; Развертка (Гц): 50; Мощн. (Вт): 3.5; Звук: моно; Кинескоп Quintrix F Громкоговоритель 3,5 Вт Экранная индикация на русском языке Три температуры цвета Задание цвета канала Мультивольтаж 110-240 В Цвет корпуса: голубой металлик";http://tradestar.com.ua/index.php?categoryID=248
"Телевізори 15""";SAMSUNG;SAMSUNG CS-15K30 ;138;"Телевизор с плоским экраном обладает совершенной системой защиты от перепадов напряжения (160 – 300 В), что значительно увеличивает надежность работы, а функция усиления слабого сигнала позволяет получать качественное изображение даже в удаленных от источника телесигнала местах. Kинескоп с диагональю 15"""" (37 см) Абсолютно плоский экран Усилитель слабого телесигнала Таймер Вкл/Выкл Автовольтаж 160—300 В";http://tradestar.com.ua/index.php?categoryID=249
"Телевізори 28""-29""";TOSHIBA;TOSHIBA 29CZ5 SR;358;"29"".";http://tradestar.com.ua/index.php?categoryID=296&show_all=yes
